song_name,performer_name,album_name,song_share_URL
World's On Fire,Psycho Motel,State of Mind,https://www.musixmatch.com/lyrics/Psycho-Motel/World-s-on-Fire?utm_source=application&utm_campaign=api&utm_medium=
Time for Deliverance,Soulitude,The Crawlian Supremacy,https://www.musixmatch.com/lyrics/Soulitude/Time-For-Deliverance?utm_source=application&utm_campaign=api&utm_medium=
In the Mirrors,Demigod,Shadow Mechanics,https://www.musixmatch.com/lyrics/Demigod/In-the-Mirrors?utm_source=application&utm_campaign=api&utm_medium=
Clubs & Drugs,MQN,Hellburst,https://www.musixmatch.com/lyrics/MQN/Clubs-Drugs?utm_source=application&utm_campaign=api&utm_medium=
Free Your Body,Praga Khan,Free Your Body / Injected With a Poison (feat. Jade 4 U),https://www.musixmatch.com/lyrics/Praga-Khan/Free-Your-Body?utm_source=application&utm_campaign=api&utm_medium=
Charge Like a Bull,Bouncer,King Hits,https://www.musixmatch.com/lyrics/Bouncer/Charge-Like-a-Bull?utm_source=application&utm_campaign=api&utm_medium=
When the Fire Burns Over the Sea,Atrocity,Hallucinations,https://www.musixmatch.com/lyrics/Atrocity/When-the-Fire-Burns-Over-the-Sea?utm_source=application&utm_campaign=api&utm_medium=
Man and Boy,Art Bears,Winter Songs,https://www.musixmatch.com/lyrics/Art-Bears/Man-and-Boy?utm_source=application&utm_campaign=api&utm_medium=
Reflux,Rootwater,Under,https://www.musixmatch.com/lyrics/Rootwater/Reflux?utm_source=application&utm_campaign=api&utm_medium=
One Shot,Bad Bones,Smalltown Brawlers,https://www.musixmatch.com/lyrics/Bad-Bones/One-Shot?utm_source=application&utm_campaign=api&utm_medium=
I've Come With Water,Bumblebeez,White Printz,https://www.musixmatch.com/lyrics/Bumblebeez/I-ve-Come-With-Water?utm_source=application&utm_campaign=api&utm_medium=
Bleed for Deliverance,Illidiance,Nexaeon,https://www.musixmatch.com/lyrics/Illidiance/Bleed-for-Deliverance?utm_source=application&utm_campaign=api&utm_medium=
Just When You Thought I Was Listening,Killwhitneydead.,Nothing Less Nothing More,https://www.musixmatch.com/lyrics/Killwhitneydead/Just-When-You-Thought-I-Was-Listening?utm_source=application&utm_campaign=api&utm_medium=
